"Id","IsDeleted","AccountId","RecordTypeId","IsPrivate","Name","Description","StageName","Amount","Probability","ExpectedRevenue","TotalOpportunityQuantity","CloseDate","Type","NextStep","LeadSource","IsClosed","IsWon","ForecastCategory","ForecastCategoryName","CurrencyIsoCode","CampaignId","HasOpportunityLineItem","Pricebook2Id","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","FiscalQuarter","FiscalYear","Fiscal","ContactId","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","SyncedQuoteId","ContractId","HasOpenActivity","HasOverdueTask","LastAmountChangedHistoryId","LastCloseDateChangedHistoryId","CanalDistribuicao__c","CapitalSegurado__c","CodigoCorretor__c","Congenere__c","CorretorPrincipal__c","CusteioSegurado__c","CusteioSubEstipulante__c","CustoApolice__c","DataCalculo__c","DataCriacaoPortal__c","Dependentes__c","DescontoAgravoComercial__c","DescontoPremioComercial__c","DescontoPremioPuro__c","Destino__c","Encargos__c","EventoLocalFechadoDelimitado__c","FaixaIdade__c","FaixaRenda__c","FormaCusteio__c","FormaPagamento__c","FormaTrabalho__c","HaControlePublico__c","IncluiPaisEuropeu__c","InformacoesEvento__c","Iof__c","Juros__c","JustificativasPareceres__c","LivreEscolha__c","MeioComercializacao__c","MultiploSalarial__c","NumeroPortal__c","Numero__c","ObservacoesGerais__c","OrcamentoAfastamento__c","Origem__c","PorQuantoTempoQuerGarantirRenda__c","Payload__c","Percentual__c","PossuiAfastados__c","PossuiTrackageBagagem__c","PremioComercial__c","PremioInformado__c","PremioPuroInterno__c","PremioPuroResseguro__c","PremioPuro__c","PremioTotal__c","PrestadoresServicosEstagiarios__c","Produto__c","ProtecaoParaQuem__c","QuantidadeDias__c","QuantidadeFuncionarios__c","QuantidadeMotoboys__c","QuantidadeMotoristas__c","QuantidadeParcelas__c","QuantidadePassageiros070Anos__c","QuantidadePassageirosIdosos__c","QuantidadePassageirosNaoIdosos__c","QuantidadePassageiros__c","QuantidadeSocios__c","QuantidadeVidas__c","Sinistralidade__c","TaxaAnual__c","TaxaComercial__c","TaxaMensal__c","TaxaPuraInterna__c","TaxaPuraResseguro__c","TaxaPura__c","TaxaTotal__c","TaxaVigencia__c","TempoPermanencia__c","TipoAdesao__c","TipoCalculo__c","TipoEvento__c","TipoProtecao__c","TipoSegurado__c","TipoViagem__c","TipoVigencia__c","Total__c","TransferenciaCongenere__c","UtilizaMoto__c","ViagemAventura__c","VidasEntre7074Anos__c","VidasEntre7190Anos__c","VigenciaFinal__c","VigenciaInicial__c","VigenciaMenor365Dias__c","DescontoAgravoMonetarioComercial__c","DescontoAgravoMonetarioInformado__c","DescontoAgravoMonetarioTecnico__c","DescontoAgravoPercentualComercial__c","DescontoAgravoPercentualInformado__c","DescontoAgravoPercentualTecnico__c","TipoDescontoAgravo__c","TipoEndosso__c","EntradaNegocio__c","ContadorOrcamento__c","Consultivo__c","DataVencimento__c","DescontoAgravoMonetarioFormaPagto__c","DescontoAgravoMonetarioParcelamento__c","DescontoAgravoPercentualFormaPagto__c","DescontoAgravoPercentualParcelamento__c","CotacaoMoeda__c","MoedaOrcamento__c","NumeroOferta__c","PaisesDestino__c","Customizavel__c","RamoOrcamento__c","Segmento__c","VigenciaFinalAlterada__c","DLL__c","Tarifa__c","NomeOrcamento__c","QuantidadeGarantias__c"
"0060t00000FjK5FAAV","false","0010t00001HWHlhAAH","012f4000000QY39AAG","false","ARQ-11241997","","Devolvida","71.43","0","0","","2019-07-19","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-19T19:30:29.000+0000","005f4000000jPAEAA2","2019-07-19T19:30:31.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:20.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-19","","","","","","0","false","","","","","","false","false","","0.27","0","","","ARQ","","","11241997","","","18","","","","","false","71.16","71.27999999999999","","","10.23","71.28","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.077214818","","","","0.011104","0.07705267012522236","","","","","","","","","","","false","false","false","0","","2020-03-30","2019-07-29","false","","-0.15","","","-0.20999579999999574","","","","RENNER - SEDE DAS LOJAS RENNER","00018841","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FhI2fAAF","false","0010t00001HWK0WAAX","012f4000000QY39AAG","false","ARQ-01146774","","Devolvida","42.9","0","0","","2019-07-03","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-03T20:17:59.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:01.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:22.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-03","","","","","","0","false","","","","","","false","false","","0.16","0","","","ARQ","","","01146774","","","18","","","","","false","42.74","40.599999999999994","","","6","40.6","","01tf4000003NWsVAAW","","","","","","","","","","","","","","","0.023125368","","","","0.00437","0.021885546396646128","","","","","","","","","","","false","false","false","0","","2019-12-29","2019-07-29","false","","-2.3","","","-5.361305400000004","","","","RENNER - SEDE DAS LOJAS RENNER","00005365","false","","","","","","","","","","false","","Individual","false","","","","7"
"0060t00000FhNv2AAF","false","0010t00001HWW5SAAX","012f4000000QY39AAG","false","ARQ-11143474","","Devolvida","58.85","0","0","","2019-07-04","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-04T14:10:53.000+0000","005f4000000jPAEAA2","2019-07-04T14:10:55.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:20.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-04","","","","","","0","false","","","","","","false","false","","0.22","0","","","ARQ","","","11143474","","","18","","","","","false","58.63","58.72000000000001","","","8.43","58.72","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.077222831","","","","0.011104","0.07705224530298402","","","","","","","","","","","false","false","false","0","","2020-03-30","2019-07-29","false","","-0.13","","","-0.22090059999999578","","","","RENNER - SEDE DAS LOJAS RENNER","00007406","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FhGsZAAV","false","0010t00001HWJ0pAAH","012f4000000QY39AAG","false","ARQ-01144263","","Devolvida","19.85","0","0","","2019-07-03","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-03T20:05:47.000+0000","005f4000000jPAEAA2","2019-07-03T20:05:49.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:21.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-03","","","","","","0","false","","","","","","false","false","","0.07","0","","","ARQ","","","01144263","","","18","","","","","false","19.78","10.92","","","2.43","10.92","","01tf4000003NWsVAAW","","","","","","","","","","","","","","","0.013867525","","","","0.002622","0.007628885281568601","","","","","","","","","","","false","false","false","0","","2019-10-29","2019-07-29","false","","-8.93","","","-44.987405599999995","","","","RENNER - SEDE DAS LOJAS RENNER","00003973","false","","","","","","","","","","false","","Individual","false","","","","7"
"0060t00000FhGxeAAF","false","0010t00001HWJ5DAAX","012f4000000QY39AAG","false","ARQ-01144462","","Devolvida","133.09","0","0","","2019-07-03","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-03T20:06:48.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:51.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:21.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-03","","","","","","0","false","","","","","","false","false","","0.5","0","","","ARQ","","","01144462","","","18","","","","","false","132.59","211.52","","","22.44","211.52","","01tf4000003NWsVAAW","","","","","","","","","","","","","","","0.037001667","","","","0.006992","0.05880676686488849","","","","","","","","","","","false","false","false","0","","2020-03-30","2019-07-29","false","","78.43","","","58.9300473","","","","RENNER - SEDE DAS LOJAS RENNER","00004098","false","","","","","","","","","","false","","Individual","false","","","","7"
"0060t00000FhOfZAAV","false","0010t00001HWJ9pAAH","012f4000000QY39AAG","false","ARQ-11144637","","Devolvida","26.07","0","0","","2019-07-04","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-04T14:23:12.000+0000","005f4000000jPAEAA2","2019-07-04T14:23:14.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:20.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-04","","","","","","0","false","","","","","","false","false","","0.11","0","","","ARQ","","","11144637","","","18","","","","","false","25.96","25.970000000000002","","","3.73","25.97","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.067549052","","","","0.009716","0.067289945522514","","","","","","","","","","","false","false","false","0","","2020-02-28","2019-07-29","false","","-0.1","","","-0.38358269999999584","","","","RENNER - SEDE DAS LOJAS RENNER","00008240","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FhPieAAF","false","0010t00001HWXdkAAH","012f4000000QY39AAG","false","ARQ-11146242","","Devolvida","52.74","0","0","","2019-07-04","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-04T14:42:11.000+0000","005f4000000jPAEAA2","2019-07-04T14:42:13.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:21.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-04","","","","","","0","false","","","","","","false","false","","0.2","0","","","ARQ","","","11146242","","","18","","","","","false","52.54","52.56999999999999","","","7.55","52.57","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.067574703","","","","0.009716","0.06735688540533792","","","","","","","","","","","false","false","false","0","","2020-02-28","2019-07-29","false","","-0.17","","","-0.32233600000000084","","","","RENNER - SEDE DAS LOJAS RENNER","00009368","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FjMMZAA3","false","0010t00001HWJOuAAP","012f4000000QY39AAG","false","ARQ-11245149","","Devolvida","21.77","0","0","","2019-07-19","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-19T19:58:14.000+0000","005f4000000jPAEAA2","2019-07-19T19:58:15.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:22.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-19","","","","","","0","false","","","","","","false","false","","0.09","0","","","ARQ","","","11245149","","","18","","","","","false","21.68","21.700000000000003","","","3.12","21.7","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.067542601","","","","0.009716","0.06732542215675356","","","","","","","","","","","false","false","false","0","","2020-02-28","2019-07-29","false","","-0.07","","","-0.32154349999999887","","","","RENNER - SEDE DAS LOJAS RENNER","00021058","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FjMZoAAN","false","0010t00001HWXKUAA5","012f4000000QY39AAG","false","ARQ-11245681","","Devolvida","25.2","0","0","","2019-07-19","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-19T20:03:21.000+0000","005f4000000jPAEAA2","2019-07-19T20:03:23.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:22.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-19","","","","","","0","false","","","","","","false","false","","0.09","0","","","ARQ","","","11245681","","","18","","","","","false","25.11","25.13","","","3.61","25.13","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.067569323","","","","0.009716","0.06738163042109571","","","","","","","","","","","false","false","false","0","","2020-02-28","2019-07-29","false","","-0.07","","","-0.27777780000000085","","","","RENNER - SEDE DAS LOJAS RENNER","00021449","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FhH3EAAV","false","0010t00001HWJ9kAAH","012f4000000QY39AAG","false","ARQ-01144625","","Devolvida","34.91","0","0","","2019-07-03","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-03T20:07:53.000+0000","005f4000000jPAEAA2","2019-07-03T20:07:55.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:21.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-03","","","","","","0","false","","","","","","false","false","","0.13","0","","","ARQ","","","01144625","","","18","","","","","false","34.78","22.400000000000002","","","4.41","22.4","","01tf4000003NWsVAAW","","","","","","","","","","","","","","","0.02310389","","","","0.00437","0.014824610025032731","","","","","","","","","","","false","false","false","0","","2019-12-29","2019-07-29","false","","-12.51","","","-35.835004299999994","","","","RENNER - SEDE DAS LOJAS RENNER","00004228","false","","","","","","","","","","false","","Individual","false","","","","7"
